request	account_type	client_type	cost_of_service	currency	metro_station	online_reserving	region	resident	show_docs
Могу ли я открыть отдельный счет по 44 ФЗ и что для этого нужно?	44 ФЗ								
Здравствуйте! Могу ли я открыть отдельный счет по счёт по госконтракту и что для этого нужно?	счёт по госконтракту								
Добрый день. Могу ли я открыть отдельный счет по ГосКонтракт и что для этого нужно?	ГосКонтракт								
Добрый день. Могу ли я открыть отдельный счет по временный счёт и что для этого нужно?	временный счёт								
Могу ли я открыть отдельный счет по Текущий валютный счет и что для этого нужно?	Текущий валютный счет								
Здравствуйте. Могу ли я открыть отдельный счет по счёт для строительства и что для этого нужно?	счёт для строительства								
Добрый день. Могу ли я открыть отдельный счет по госзаказ и что для этого нужно?	госзаказ								
Могу ли я открыть отдельный счет по счёт для иностранных операций и что для этого нужно?	счёт для иностранных операций								
Могу ли я открыть отдельный счет по Накопительный счет и что для этого нужно?	Накопительный счет								
Могу ли я открыть отдельный счет по счёт для ценных бумаг и что для этого нужно?	счёт для ценных бумаг								
Здравствуйте. Могу ли я открыть отдельный счет по счёт для перечисления валюты и что для этого нужно?	счёт для перечисления валюты								
Добрый день! Могу ли я открыть отдельный счет по счёт по банкротству и что для этого нужно?	счёт по банкротству								
Добрый день! Могу ли я открыть отдельный счет по государственный заказ и что для этого нужно?	государственный заказ								
Добрый день. Могу ли я открыть отдельный счет по Транзитный валютный счет и что для этого нужно?	Транзитный валютный счет								
Могу ли я открыть отдельный счет по счёт для списание денег на банковские счета и что для этого нужно?	счёт для списание денег на банковские счета								
Добрый день. Могу ли я открыть отдельный счет по счёт в рамках жилищного кодекса и что для этого нужно?	счёт в рамках жилищного кодекса								
Здравствуйте. Могу ли я открыть отдельный счет по счет для ТСЖ и что для этого нужно?	счет для ТСЖ								
Могу ли я открыть отдельный счет по Банковское сопровождение государственных контрактов и что для этого нужно?	Банковское сопровождение государственных контрактов								
Могу ли я открыть отдельный счет по счёт для поставщика и что для этого нужно?	счёт для поставщика								
Добрый день! Могу ли я открыть отдельный счет по счёт для открытия паевого фонда и что для этого нужно?	счёт для открытия паевого фонда								
Здравствуйте. хочу открыть счет для физическое лицо у вас в банке что для этого требуется ?		физическое лицо							
Здравствуйте! хочу открыть счет для общество с дополнительной ответственностью у вас в банке что для этого требуется ?		общество с дополнительной ответственностью							
Здравствуйте! хочу открыть счет для хоз. общества у вас в банке что для этого требуется ?		хоз. общества							
Здравствуйте. хочу открыть счет для юрик у вас в банке что для этого требуется ?		юрик							
хочу открыть счет для ЮЛ у вас в банке что для этого требуется ?		ЮЛ							
хочу открыть счет для ООО у вас в банке что для этого требуется ?		ООО							
Здравствуйте! хочу открыть счет для юридическая консультация у вас в банке что для этого требуется ?		юридическая консультация							
Добрый день! хочу открыть счет для садоводческое объединение у вас в банке что для этого требуется ?		садоводческое объединение							
Здравствуйте! хочу открыть счет для казачье общество у вас в банке что для этого требуется ?		казачье общество							
Добрый день. хочу открыть счет для юридическое лицо у вас в банке что для этого требуется ?		юридическое лицо							
хочу открыть счет для хозяйственное партнерство у вас в банке что для этого требуется ?		хозяйственное партнерство							
хочу открыть счет для государственное унитарное предприятие у вас в банке что для этого требуется ?		государственное унитарное предприятие							
Здравствуйте! хочу открыть счет для частный предприниматель у вас в банке что для этого требуется ?		частный предприниматель							
Здравствуйте. хочу открыть счет для ИП у вас в банке что для этого требуется ?		ИП							
хочу открыть счет для публичное акционерное общество у вас в банке что для этого требуется ?		публичное акционерное общество							
Добрый день. хочу открыть счет для фирма у вас в банке что для этого требуется ?		фирма							
Здравствуйте. хочу открыть счет для ОАО у вас в банке что для этого требуется ?		ОАО							
